rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,llama3.2,zeroshot,40,28.6262345106422,2.7212736832764,0.795408314466476,0.0094813635115442,0.0035055269880788,0.0038274661455084,24.0138180017471,7.92680749028333,37.7406171234292,15.2061404959995
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,llama3.2,constraint,40,28.5976463126779,2.78899842258008,0.793538200855255,0.0091718301748979,0.0026381562772779,0.001456115837019,25.1898367881775,8.8619546167625,37.1067932276149,17.5219876935375
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,llama3.2,structured,40,28.5480459307118,2.83333181619757,0.794064739346504,0.0068430448504207,0.0032199539512995,0.0025975110358504,26.1806301355362,10.9938816960292,37.2557258945794,14.846581390716
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,llama3.2,zeroshot,40,28.4556391817682,2.88291970721459,0.792442581057549,0.0107775713888956,0.0028083386504835,0.0018997265295508,24.3978807926178,9.96837267696536,36.4947849078079,14.1448564573006
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,llama3.2,constraint,40,28.6233056534009,2.72306782326442,0.795478187501431,0.0090233207809912,0.0028033800415787,0.0023153435487784,24.3571670293808,11.4390744326149,37.1557036205442,14.494808792133
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,llama3.2,structured,40,28.7493995047064,2.98308552829663,0.795190770924091,0.0083690546471132,0.0032205322336131,0.002342315519777,23.9219866991043,8.27530113946124,37.6386978186504,11.5223039265098
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,llama3.2,zeroshot,40,28.6189392597879,3.30484159568935,0.79432036280632,0.010175477107086,0.0028994057797372,0.0021512877059849,24.3644759654999,11.8067698045456,39.4251968581315,15.0100718033273
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,llama3.2,constraint,40,28.5270875377328,3.07179715994706,0.793840196728706,0.0107560242577526,0.0028231213886671,0.0022073494071095,23.5094536781311,9.72731491695685,35.9221369091454,16.5815025707789
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,llama3.2,structured,40,28.6894215926107,2.87589229937816,0.795241411030293,0.008853820381905,0.0029970244336528,0.0019423980047055,23.1955215930939,10.9381786488689,40.7131017929336,12.8128952095073
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,llama3.2,zeroshot,40,28.7346313271809,2.97409020659438,0.795078986883163,0.0096446791917624,0.0032081394065287,0.0018419434163057,23.6172737121582,6.66462331256431,38.1660114163507,14.7735080837505
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,sonar,constraint,189,42.2334824171134,4.8289172592559,0.890353535533582,0.020982870145427,0.167520062478136,0.0686084708351753,40.4443018423817,13.3334476096677,49.2680577689813,16.8800310023182
