model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
claude-haiku-4-5,v3,BGE-RAG-full,structured,189,189,0.889766580213315,0.0159413460324229,0.171832257541736,0.0675991267934429,44.0544255095299,3.8650617790451,26.2769331755462,5.89307406303903,71.5685233604779,7.62147347269571,-5.52837504165994,1.60446887336933,18.4920537988958,6.44310283499737,5.72930983717346,71.8011741159828,BGE RAG v3,,
claude-haiku-4-5,v3,BGE-RAG-full,zeroshot,189,189,0.890489881946927,0.0174976719300324,0.168456646261333,0.0749088593149752,43.6069925237222,3.94835273319337,28.5188642027517,7.09755003976292,72.1689870283096,7.28427225936043,-5.53121774444765,1.7310749747006,18.8665925672875,7.48273539448229,5.72646713438575,72.1757128843746,BGE RAG v3,,
claude-haiku-4-5,v3,E5-RAG-full,constraint,189,189,0.898467539164124,0.0157266255362147,0.20935867344373,0.0714492769712932,44.660850879907,3.90777355965342,28.7159969390385,6.4423751255032,70.2133257817973,7.29129056763244,-5.12190058733617,1.53957867592069,16.7353934996186,6.18620453957635,6.13578429149723,70.0445138167056,E5 RAG v3,,
claude-haiku-4-5,v3,E5-RAG-full,structured,189,189,0.889502272719429,0.0164453906079154,0.173051565332746,0.07307572061325,44.0577363882083,4.05505316912225,26.0946731315088,5.28284337534973,71.96333581885,6.92263068748742,-5.48668306786914,1.56903045657473,18.2509012892891,6.68026622926379,5.77100181096426,71.5600216063761,E5 RAG v3,,
claude-haiku-4-5,v3,E5-RAG-full,zeroshot,189,189,0.890710360789425,0.0183272454409847,0.169812187559839,0.0735944479236305,43.8234101221538,3.99405776067043,28.0002010486744,6.54623353633891,72.6139133407287,6.89852125112553,-5.57354956687838,1.6649693993786,19.2315315299967,7.3659910207423,5.68413531195501,72.5406518470837,E5 RAG v3,,
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,189,189,0.897376275567151,0.0166038631869136,0.209418681219968,0.0748990945101752,44.8375877313803,3.8876140136506,28.2811814464589,6.32543372814622,70.7156242531665,6.52560722498171,-5.13158424953352,1.6059596082217,16.7534322375399,6.45823231241398,6.12610062929988,70.0625525546269,Open AI RAG v3,,
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,structured,189,189,0.889742480383979,0.016190094142519,0.170482065934056,0.0684909279349334,43.9030526996201,3.81817427679134,25.9033854751991,5.32209457583375,71.5992155812051,7.34219212825218,-5.58275771819548,1.66823054785739,18.9114137430224,7.29014297937657,5.67492716063791,72.2205340601095,Open AI RAG v3,,
claude-haiku-4-5,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,189,189,0.889681598496815,0.0162318341614703,0.169047192677963,0.0678209291959776,43.6081835303735,4.00392069720436,28.6180131801222,6.09968588257978,72.2299903571752,6.85220921040701,-5.46913669426683,1.65544742065127,18.5853565085352,6.94839370396315,5.78854818456656,71.8944768256222,Open AI RAG v3,,
gemini-2.0-flash,v1,step 1 - simple prompt engineering,constraint,189,189,0.869407521984565,0.0125096950917786,0.0651737123295609,0.0319157526671393,38.1358376227526,3.61568282963098,28.5775543445002,6.92867272289843,57.5338640981295,13.4706087714522,-8.52057365925297,1.79219450273543,34.7825914975218,8.42095170379926,2.73711121958042,88.0917118146088,Simple Prompt v1,Simple Prompt v1,none
gemini-2.0-flash,v1,step 1 - simple prompt engineering,structured,189,189,0.845285221382424,0.0124072496667122,0.0290706436022991,0.0215992620307355,34.0137300119734,3.31606002585988,22.1711504446766,4.35737355917751,64.2245974916103,11.2814619287173,-5.76024120888603,2.02746531590424,23.7109898764042,9.77030567138195,5.49744366994737,77.0201101934912,Simple Prompt v1,Simple Prompt v1,none
